name,parent,type,owners,id
Global Enterprise,,ORGANIZATION,CK0001,00000000-0000-0000-0000-000000000001
Engineering Division,Global Enterprise,AREA,CK0002,00000000-0000-0000-0000-000000000002
Product Division,Global Enterprise,AREA,CK0003,00000000-0000-0000-0000-000000000003
Sales Division,Global Enterprise,AREA,CK0004,00000000-0000-0000-0000-000000000004
Marketing Division,Global Enterprise,AREA,CK0005,00000000-0000-0000-0000-000000000005
Finance Division,Global Enterprise,AREA,CK0006,00000000-0000-0000-0000-000000000006
Operations Division,Global Enterprise,AREA,CK0007,00000000-0000-0000-0000-000000000007
Human Resources Division,Global Enterprise,AREA,CK0008,00000000-0000-0000-0000-000000000008
Engineering Platform Dept,Engineering Division,AREA,CK0009,00000000-0000-0000-0000-000000000009
Engineering Solutions Dept,Engineering Division,AREA,CK0010,00000000-0000-0000-0000-00000000000a
Engineering Services Dept,Engineering Division,AREA,CK0011,00000000-0000-0000-0000-00000000000b
Product Platform Dept,Product Division,AREA,CK0012,00000000-0000-0000-0000-00000000000c
Product Solutions Dept,Product Division,AREA,CK0013,00000000-0000-0000-0000-00000000000d
Product Services Dept,Product Division,AREA,CK0014,00000000-0000-0000-0000-00000000000e
Sales Platform Dept,Sales Division,AREA,CK0015,00000000-0000-0000-0000-00000000000f
Sales Solutions Dept,Sales Division,AREA,CK0016,00000000-0000-0000-0000-000000000010
Sales Services Dept,Sales Division,AREA,CK0017,00000000-0000-0000-0000-000000000011
Marketing Platform Dept,Marketing Division,AREA,CK0018,00000000-0000-0000-0000-000000000012
Marketing Solutions Dept,Marketing Division,AREA,CK0019,00000000-0000-0000-0000-000000000013
Marketing Services Dept,Marketing Division,AREA,CK0020,00000000-0000-0000-0000-000000000014
Finance Platform Dept,Finance Division,AREA,CK0021,00000000-0000-0000-0000-000000000015
Finance Solutions Dept,Finance Division,AREA,CK0022,00000000-0000-0000-0000-000000000016
Finance Services Dept,Finance Division,AREA,CK0023,00000000-0000-0000-0000-000000000017
Operations Platform Dept,Operations Division,AREA,CK0024,00000000-0000-0000-0000-000000000018
Operations Solutions Dept,Operations Division,AREA,CK0025,00000000-0000-0000-0000-000000000019
Operations Services Dept,Operations Division,AREA,CK0026,00000000-0000-0000-0000-00000000001a
Human Resources Platform Dept,Human Resources Division,AREA,CK0027,00000000-0000-0000-0000-00000000001b
Human Resources Solutions Dept,Human Resources Division,AREA,CK0028,00000000-0000-0000-0000-00000000001c
Human Resources Services Dept,Human Resources Division,AREA,CK0029,00000000-0000-0000-0000-00000000001d
Engineering Platform Team,Engineering Platform Dept,SUBAREA,CK0030,00000000-0000-0000-0000-00000000001e
Engineering Solutions Team,Engineering Solutions Dept,SUBAREA,CK0031,00000000-0000-0000-0000-00000000001f
Engineering Services Team,Engineering Services Dept,SUBAREA,CK0032,00000000-0000-0000-0000-000000000020
Product Platform Team,Product Platform Dept,SUBAREA,CK0033,00000000-0000-0000-0000-000000000021
Product Solutions Team,Product Solutions Dept,SUBAREA,CK0034,00000000-0000-0000-0000-000000000022
Product Services Team,Product Services Dept,SUBAREA,CK0035,00000000-0000-0000-0000-000000000023
Sales Platform Team,Sales Platform Dept,SUBAREA,CK0036,00000000-0000-0000-0000-000000000024
Sales Solutions Team,Sales Solutions Dept,SUBAREA,CK0037,00000000-0000-0000-0000-000000000025
Sales Services Team,Sales Services Dept,SUBAREA,CK0038,00000000-0000-0000-0000-000000000026
Marketing Platform Team,Marketing Platform Dept,SUBAREA,CK0039,00000000-0000-0000-0000-000000000027
Marketing Solutions Team,Marketing Solutions Dept,SUBAREA,CK0040,00000000-0000-0000-0000-000000000028
Marketing Services Team,Marketing Services Dept,SUBAREA,CK0041,00000000-0000-0000-0000-000000000029
Finance Platform Team,Finance Platform Dept,SUBAREA,CK0042,00000000-0000-0000-0000-00000000002a
Finance Solutions Team,Finance Solutions Dept,SUBAREA,CK0043,00000000-0000-0000-0000-00000000002b
Finance Services Team,Finance Services Dept,SUBAREA,CK0044,00000000-0000-0000-0000-00000000002c
Operations Platform Team,Operations Platform Dept,SUBAREA,CK0045,00000000-0000-0000-0000-00000000002d
Operations Solutions Team,Operations Solutions Dept,SUBAREA,CK0046,00000000-0000-0000-0000-00000000002e
Operations Services Team,Operations Services Dept,SUBAREA,CK0047,00000000-0000-0000-0000-00000000002f
Human Resources Platform Team,Human Resources Platform Dept,SUBAREA,CK0048,00000000-0000-0000-0000-000000000030
Human Resources Solutions Team,Human Resources Solutions Dept,SUBAREA,CK0049,00000000-0000-0000-0000-000000000031
Human Resources Services Team,Human Resources Services Dept,SUBAREA,CK0050,00000000-0000-0000-0000-000000000032
